"Trimestre","Centre","1er","2e","3e","4e","5e","6e","7e","8e","9e","10e","11e","12e","13e","14e","15e","16e","17e","18e","19e","20e"
"T2 2014","10 140 €","10 640 €","10 000 €","9830€","11 220 €","10 110 €","11530€","11 070 €","9320€","8640€","7370€","8 000 €","7770€","7 630 €","8 180 €","8 350 €","8 950 €","8210€","7 200 €","6 660 €","6810€"
"T1 2014","10 000 €","9820€","9 620 €","9 960 €","11 070 €","9 990 €","11780€","11 060 €","10 090 €","8 260 €","7 670 €","7 970 €","7 690 €","7 690 €","8 350 €","8 350 €","8780€","8 190 €","7 060 €","6 680 €","6870€"
"T4 2013","10 040 €","10 280 €","9 460 €","9 720 €","11 350 €","10 050 €","12 190 €","11430€","9 600 €","8290€","7 460 €","7 960 €","7 700 €","7 600 €","8 330 €","8 450 €","9 020 €","8 030 €","7250€","6 650 €","6870€"

"Trimestre","Centre","1er","2e","3e","4e","5e","6e","7e","8e","9e","10e","11e","12e","13e","14e","15e","16e","17e","18e","19e","20e"
"T3 2013","10 190 €","10 130 €","9 700 €","10 220 €","11 000 €","10 250 €","11740€","11100€","9 400 €","8 650 €","7 430 €","7 940 €","7810€","7 870 €","8580€","8540€","9 120 €","8 260 €","7 180 €","6820€","7070€"
"T2 2013","10 270 €","9870€","9570€","10 200 €","11620€","10 210 €","12 080 €","11240€","9290€","8410€","7 420 €","7 990 €","7 830 €","7 700 €","8 380 €","8610€","9 060 €","8 210 €","7 200 €","6 600 €","6 840 €"
"T1 2013","10 240 €","11 130 €","9760€","10 340 €","10 670 €","10 450 €","12 030 €","10 980 €","9 930 €","8 390 €","7 300 €","7 940 €","7 860 €","7 840 €","8710€","8 400 €","9 160 €","8 370 €","7 340 €","6760€","7 100 €"
"T4 2012","10 290 €","10 560 €","9800€","10 320 €","11 060 €","10 370 €","12770€","11 360 €","9640€","8 300 €","7 640 €","8 120 €","7 860 €","7740€","8570€","8550€","9 160 €","8 460 €","6 980 €","6 670 €","6 840 €"
"T32012","10 440 €","10 860 €","9 250 €","10 540 €","10 980 €","10 460 €","12 450 €","11 480 €","9880€","8680€","7 500 €","8 090 €","7 820 €","7 850 €","8590€","8 660 €","9 590 €","8570€","7270€","6760€","7070€"
"T2 2012","10 390 €","10 920 €","9 760 €","10 170 €","10 830 €","10 610 €","12510€","11 920 €","9880€","8 460 €","7 500 €","8 090 €","7 690 €","7 950 €","8 490 €","8560€","9 240 €","8 450 €","7 380 €","6 630 €","6 840 €"
"T1 2012","10 220 €","10 700 €","9 130 €","10 040 €","11 070 €","10 310 €","11 930 €","11 980 €","10 020 €","8 420 €","7 150 €","8010€","7 750 €","7 640 €","8560€","8500€","9 140 €","8 320 €","7 310 €","6 570 €","6790€"
"T4 2011","10 190 €","10 460 €","9 600 €","10 320 €","10 280 €","10 180 €","12 490 €","11 810 €","10 120 €","8750€","7 140 €","7 950 €","7 720 €","7 720 €","8 630 €","8 600 €","9 310 €","8 400 €","7 380 €","6 520 €","7 120 €"
"T3 2011","10 260 €","10 860 €","9 430 €","10 030 €","10 980 €","10 620 €","12220€","11 900 €","10 100 €","8 630 €","7 400 €","7 930 €","7 830 €","7 680 €","8560€","8570€","9 200 €","8550€","7 310 €","6 650 €","7 130 €"
"T2 2011","10 190 €","10 660 €","9240€","9560€","11 160 €","10 240 €","11 940 €","11630€","9280€","8 230 €","7 300 €","7 730 €","7 610 €","7 580 €","8 280 €","8 340 €","9 120 €","8 150 €","7090€","6 440 €","6740€"
"T1 2011","9 600 €","9 930 €","8700€","9590€","10 220 €","9 660 €","11 500 €","11 370 €","9 310 €","7670€","6810€","7 460 €","7 210 €","7 120 €","7 990 €","7 840 €","8770€","7780€","6 660 €","6 300 €","6330€"
"T4 2010","8880€","9510€","8 290 €","8 440 €","9 200 €","9 230 €","10880€","10 410 €","8 890 €","7 430 €","6 290 €","7 050 €","6770€","6810€","7 690 €","7 470 €","8 190 €","7 390 €","6 450 €","5770€","6 120 €"
"T3 2010","8810€","9 300 €","8010€","8 480 €","9510€","9 040 €","10 330 €","9 630 €","8 080 €","6 920 €","6 220 €","6 690 €","6 540 €","6 650 €","7 180 €","7 260 €","7 700 €","7 010 €","6220€","5 690 €","5870€"
"T2 2010","8 160 €","8910€","7 150 €","8 020 €","8 490 €","8 380 €","9880€","9 440 €","7 990 €","6 640 €","5 800 €","6 410 €","6 120 €","6 250 €","6 910 €","6 820 €","7 470 €","6 660 €","5890€","5 310 €","5 560 €"
"T1 2010","8 070 €","8540€","7 210 €","7 620 €","8760€","8020€","9 480 €","9 170 €","8 080 €","6 410 €","5740€","6 060 €","6040€","6010€","6 520 €","6 570 €","7170€","6 380 €","5 630 €","5 140 €","5 360 €"
"T4 2009","7 720 €","8390€","6 780 €","7 450 €","8510€","7 850 €","8980€","8790€","8 150 €","6110€","5 340 €","5910€","5750€","5720€","6 530 €","6 320 €","6790€","6240€","5390€","4870€","5250€"
"T3 2009","7 600 €","8 030 €","7 150 €","7 490 €","8 350 €","7 830 €","9 430 €","8860€","7 450 €","6 100 €","5 370 €","5 950 €","5790€","5 840 €","6 470 €","6 260 €","6880€","6 070 €","5 410 €","4 930 €","5210€"
"T2 2009","7 250 €","7 980 €","6 910 €","6830€","8 120 €","7 950 €","9220€","8 660 €","7 300 €","6 120 €","5240€","5 700 €","5750€","5710€","6 340 €","6 200 €","6 780 €","5 970 €","5250€","4 750 €","5050€"
"T1 2009","7 950 €","8560€","7 500 €","7 620 €","8520€","7 640 €","9 950 €","9210€","7 430 €","6 400 €","5 500 €","5 930 €","5 840 €","5 880 €","6 570 €","6 400 €","7 080 €","6 280 €","5 460 €","4 920 €","5 120 €"
"T4 2008","7 920 €","7 900 €","7 450 €","7 620 €","8 900 €","8 340 €","9670€","9 370 €","7 910 €","6 480 €","5 700 €","6 090 €","5 930 €","6 120 €","6750€","6 640 €","7 270 €","6 370 €","5 600 €","5 120 €","5 490 €"
"T3 2008","8 140 €","8860€","7 360 €","8 140 €","8620€","8 460 €","10 160 €","9 460 €","8560€","6 440 €","5760€","6 230 €","6 200 €","6 140 €","6 980 €","6710€","7570€","6 500 €","5850€","5 320 €","5 460 €"
"T2 2008","8 030 €","8 220 €","7 410 €","7 950 €","8890€","8 190 €","9770€","9 340 €","7 740 €","6 390 €","5 720 €","6 200 €","6 090 €","6 080 €","6810€","6770€","7 390 €","6 480 €","5 680 €","5290€","5 460 €"
